R1,R2,R3,R4,RSW1,RSW2,H1,H2,H3,H4,HSW1,HSW2,D1,D2,D3,D4,DSW1,DSW2,Kingdom,Phylum,Species
0.41,0.45,1.06,0.61,0.74,0.21,0.58,0.24,2.41,0.85,0.6,0.14,0.04,0,0.08,0.05,0.06,0.03,Bacteria,Desulfobacterota,Desulfobacteraceae
0.55,0.63,0.15,0.41,0.8,0.8,0.53,0.23,0.29,0.44,0.49,0.34,0.35,0.61,0.41,0.46,0.36,0.59,Bacteria,Proteobacteria,Hellea
0.66,1.09,0.41,0.81,1.03,0.75,0.51,0.27,0.42,0.5,0.82,0.47,0.08,0.04,0.07,0.07,0.16,0.04,Archaea,Crenarchaeota,Candidatus Nitrosopumilus
0.29,0.22,0.3,0.2,0.14,0.29,0.17,0.34,0.33,0.37,0.13,0.49,1.12,0.9,1.34,1.23,0.1,0.24,Bacteria,Proteobacteria,Enterobacterales
0.5,0.36,0.31,0.42,0.6,0.68,0.69,0.47,0.5,0.8,0.65,0.31,0.22,0.43,0.3,0.24,0.28,0.39,Bacteria,Bacteroidota,Flavobacteriales
0.63,0.7,0.17,0.64,0.94,1.04,0.45,0.27,0.29,0.46,0.53,0.44,0.15,0.18,0.2,0.14,0.13,0.23,Bacteria,Proteobacteria,Sphingorhabdus
0.77,0.64,0.28,0.66,0.7,1.25,0.61,0.23,0.35,0.63,0.65,0.43,0.1,0.04,0.03,0.09,0.02,0.07,Bacteria,Proteobacteria,Hyphomonadaceae
0.41,0.66,0.26,0.5,0.55,0.53,0.45,0.11,0.2,0.4,0.19,0.32,0.67,0.53,0.39,0.36,0.25,0.7,Bacteria,Bacteroidota,Saprospiraceae
0.84,1.01,0.39,0.69,0.79,0.95,0.53,0.19,0.31,0.54,0.46,0.18,0.06,0.06,0.17,0.17,0,0.09,Bacteria,Proteobacteria,Coxiella
0.44,0.56,0.26,0.34,0.54,0.69,0.71,0.45,0.47,0.65,0.86,0.66,0.15,0.1,0.14,0.17,0.04,0.05,Bacteria,Proteobacteria,SM2D12
0.09,0.04,0.03,0.12,0.12,0.17,0.36,0.24,0.36,0.36,0.27,1.3,0.74,0.44,0.59,0.8,0.52,0.69,Bacteria,Proteobacteria,Saccharospirillaceae
0.24,0.2,4.36,0.87,0.32,0.29,0.09,0.06,0.31,0.24,0.15,0.11,0,0,0,0,0,0,Bacteria,Campylobacterota,Sulfurimonas
0.24,0.39,0.17,0.41,0.54,0.33,0.71,0.23,0.33,0.65,0.84,0.47,0.19,0.22,0.26,0.26,0.57,0.33,Bacteria,Planctomycetota,OM190
0.26,0.38,0.57,0.36,0.26,0.2,0.21,0.08,0.12,0.2,0.25,0.12,0.58,0.48,0.61,1.38,0.27,0.46,Bacteria,Campylobacterota,Arcobacteraceae
0.23,0.4,0.12,0.4,0.48,0.54,0.54,0.23,0.39,0.56,0.49,0.46,0.37,0.25,0.29,0.28,0.32,0.39,Bacteria,Planctomycetota,Rhodopirellula
0.21,0.3,0.18,0.29,0.42,0.58,0.3,0.16,0.14,0.44,0.27,0.19,0.48,0.45,0.64,0.62,0.17,0.74,Bacteria,Actinobacteriota,Microtrichaceae
0.48,0.11,0.23,0.11,0.01,0.01,0.05,0.07,0.19,0.23,0.02,0.01,1.37,0.33,1.71,1.4,0.01,0.11,Bacteria,Proteobacteria,Candidatus Megaira
0.91,0.6,0.28,0.59,0.76,1.23,0.11,0.05,0.1,0.16,0.23,0.11,0.15,0.26,0.28,0.22,0.06,0.16,Bacteria,Proteobacteria,Micavibrionales
1.22,1.45,0.91,0.34,0.16,0.18,0.14,0.05,0.07,0.3,0.06,0.11,0.43,0.14,0.07,0.22,0.02,0.34,Bacteria,Proteobacteria,Profundimonas
0.28,0.58,0.34,0.37,0.13,0.18,0.44,2.21,0.42,0.52,0.43,0.22,0,0,0,0,0.02,0.06,Bacteria,Firmicutes,Christensenellaceae
0.8,0.44,0.19,0.63,0.69,0.89,0.4,0.15,0.22,0.42,0.38,0.08,0.14,0.13,0.23,0.19,0.12,0.06,Bacteria,Patescibacteria,Gracilibacteria
0.36,0.39,0.21,0.38,0.46,0.37,0.47,0.19,0.45,0.36,0.59,0.47,0.23,0.14,0.19,0.19,0.43,0.12,Bacteria,Proteobacteria,Aliikangiella
0.7,0.7,0.18,0.55,0.88,1.04,0.21,0.13,0.1,0.31,0.23,0.3,0.08,0.06,0.09,0.07,0.18,0.08,Bacteria,Proteobacteria,Altererythrobacter
0.95,0.33,0.98,0.65,0.28,0.24,0.32,0.2,0.4,0.26,0.46,0.43,0.04,0.04,0.01,0.06,0.17,0,Bacteria,Verrucomicrobiota,BD2-3
0.46,0.47,0.16,0.43,0.74,0.65,0.29,0.08,0.18,0.32,0.22,0.29,0.1,0.11,0.19,0.23,0.6,0.22,Bacteria,Planctomycetota,Rubinisphaeraceae
0.07,0.06,0.13,0.15,0.13,0.17,0.01,0,0,0,0.01,0,0.6,1.65,0.67,0.54,0.33,1.12,Bacteria,Bacteroidota,Salinirepens
0.02,0.11,0.01,0.02,0.04,0.05,0.16,0.1,0.12,0.08,0.09,1.14,0.17,0.88,0.13,0.09,1.91,0.47,Bacteria,Proteobacteria,Halocynthiibacter
0.13,0.15,0.19,0.15,0.2,0.25,0.17,0.12,0.2,0.15,0.11,0.04,0.48,0.76,0.49,1.33,0.17,0.43,Bacteria,Firmicutes,Fusibacter
0.25,0.22,2.43,1.33,0.29,0.15,0.03,0.13,0.04,0.05,0.07,0.14,0.02,0,0,0.02,0.11,0.03,Bacteria,Verrucomicrobiota,R76-B128
0.4,0.48,2.48,0.77,0.33,0.17,0.09,0.03,0.11,0.09,0.08,0.01,0.01,0.02,0.07,0.12,0.02,0.02,Bacteria,Desulfobacterota,Desulfovibrio
0.43,0.22,0.44,0.66,0.39,0.26,0.31,0.24,0.52,0.36,0.34,0.24,0.08,0.21,0.05,0.05,0.23,0.26,Bacteria,Bacteria,Bacteria
0.18,0.13,0.07,0.15,0.22,0.15,0.1,0.01,0.02,0.06,0.04,0.01,0.73,1.08,0.73,0.53,0.17,0.89,Bacteria,Proteobacteria,Octadecabacter
0.14,0.05,0.48,0.18,0.04,0.07,0.54,0.28,0.53,0.5,0.95,0.92,0.04,0.04,0.11,0.13,0.23,0.02,Bacteria,Verrucomicrobiota,P.palmC41
